body,Asker,Answered,Answered by,,
I think that was fixed by https://issues.jboss.org/browse/JBTM-1086 Have you done an 'svn up' on the 4.16 branch?,Paul Robinson,,,,
I think that the branch version needs to hook in the txbridge tests?,Tom Jenkinson ,1,Amos Feng,,
how about commands on the txbridge tests?,Amos Feng,,,,
"I commented on the pull re the password in narayana.sh, not ideal, can it be externalized into the job config? Also, I commented to say what happens if you are running this locally on a checked out pull, can we make the default that the commenting is disabled and job config enables it?",Tom Jenkinson ,,,,
"Tom, btny-pulls-blacktie and btny-pulls-quickstarts are tied to Windows2008. btny-pulls-documentation will run on any machine (including windows). It's not going to be trivial to get this working on windows: {code} function comment_on_pull { if [ ""$COMMENT_ON_PULL"" = """" ]; then return; fi PULL_NUMBER=$(echo $GIT_BRANCH | awk -F 'pull' '{ print $2 }' | awk -F '/' '{ print $2 }') if [ ""$PULL_NUMBER"" != """" ] then JSON=""{ \""body\"": \""$1\"" }"" curl -d ""$JSON"" -ujbosstm-bot:$BOT_PASSWORD https://api.github.com/repos/$GIT_ACCOUNT/$GIT_REPO/issues/$PULL_NUMBER/comments else echo ""Not a pull request, so not commenting"" fi } {code} I guess the only way to do this is by having the job run cygwin with a bash script that does the above. I don't fancy finding Windows commands for all of the above! WDYT?",Paul Robinson ,1,Tom Jenkinson,,
"in terms of the quickstarts one, I wonder how complex that would be in bat files? It is mainly curl (which I believe can be installed as an exe). We really just need to translate: PULL_NUMBER=$(echo $GIT_BRANCH | awk -F 'pull' '{ print $2 }' | awk -F '/' '{ print $2 }') Again, that looks like it is mainly awk. I bet that can be installed too.",Tom Jenkinson ,,,,
Worth a link to where this was done?,Tom Jenkinson ,,,,
"As workaround is possible to define java opt argument -XX:-UseSplitVerifier Put it to file sharedbuild.xml to the tag <junit> like: <jvmarg value=""-XX:-UseSplitVerifier"" /> I suppose that this problem is caused by the fact that the emma library was compiled with older version of compiler that we are trying to use for compiling TS sources. Some links e.g. here http://stackoverflow.com/questions/7970622/java-7-jvm-verifyerror-in-eclipse Do you think that the workaround is enough for solving this jira or should be tried to recompile emma or dive to some other investigation?",Ondra Chaloupka,1,Jonathan Halliday ,,
Please can you add an estimate for this issue?,Tom Jenkinson ,,,,
"Paul, do you have any experience with setting up jobs on the QE cluster?",Tom Jenkinson ,,,,
"Great, are you working with Paul on resolving the XTS issues? +1 on the JDBC tests",Tom Jenkinson ,1,Paul Robinson ,,
"Hi Mike, This issue was marked as ""Resolved, Done"" but there is no ""Fix Version"" specified. Please can you update the Jira with the version of the software where you fixed this? Also, can you then close the issue (assuming its not an in development version). Thanks, Tom",Tom Jenkinson ,,,,
"Please can you update the status of this Jira to indicate when it will be ready as we intend to release M2 on Monday. Thanks, Tom",Tom Jenkinson ,1,Paul Robinson ,,
I can do this on Sunday (hopefully). The diff looks quite simple. The problem will be testing it. I'm not 100% sure i have IP6 only-mode working properly on my machines and I don't know where Mike is with getting IP6 working on Hudson. Mike: will I be able to test this on Hudson before the Monday release?,Paul Robinson ,1,Michael Musgrove ,,
"I won't be able to test this before Weds. If it's urgent, could someone else test the pull? It sounds like we have many other IPv6 (JBTM-1156) issues that will be pushed to 5.final, so we could push this too and I'll look at it and JBTM-1156 on Weds when I hope to be back to work.",Paul Robinson,,,,
"With recent changes to transactional fileio repo, is this still relevant? Also what about the AS7 RPMs that have already been produced for Fedora: don't they duplicate this?",Mark Little ,1,Tom Jenkinson ,,
Status update please?,Mark Little ,1,Gytis Trikleris ,,
"There are ClientStub in tests of wsat-simple and wsba-participant-completion-simple. so if the client handler chain can be added by txframework automatically, we do not need this stub ?",Amos Feng ,1,Paul Robinson ,,
"Amos, What made you think ""the client handler chain can be added by txframework automatically""? This is a feature we have planned but we don't have it yet. Did you read it in some docs somewhere?",Paul Robinson ,1,Amos Feng ,,
Where did the requirement for a per-tx override come from? Is the existing global config option not sufficient?,Jonathan Halliday,1,Mark Little ,,
I can confirm that the the build started to break was between the following two jboss-as commits. I know this because: FAILED = https://github.com/jbossas/jboss-as/commit/f2d65c311d67c61d953bd17c079f4169c3dbf8aa PASSED = https://github.com/jbossas/jboss-as/commit/55fca1401f399591d009c211205f2e6ef94f876b Please can you start checking the commits inbetween to see which specific commit broke the build?,Tom Jenkinson ,,,,
"Amos, please can you investigate why https://github.com/jbossas/jboss-as/commit/435c862b9514bfcf0a036bb2b916ac3dc63b4f4a would stop the XTS crash recovery tests from working? I noticed somethings to do with ""Reload"" perhaps AS7 has some behaviour that reloads the server automatically now?",Tom Jenkinson ,1,Amos Feng ,,
"Paul, I wonder that the contents of recovery records have only the text or the binary characters ?",Amos Feng ,1,Paul Robinson ,,
"Amos, Has this been done for the docs yet?",Paul Robinson ,1,Amos Feng, & Tom Jenkinson ,
Can we mark this as resolved now?,Tom Jenkinson ,,,,
"Seems to be related to REM3-158. Ivo, I'm on PTO until August 28th. Can you try rebuilding AS7 with XNIO 3.0.6 and then re-testing on the IPv6 node?",Paul Robinson ,,,,
Did this make it into PropertiesFactory?,Mark Little ,1,Gytis Trikleris ,,
What is the use case for this?,Mark Little ,1,Tom Jenkinson, & Michael Musgrove ,
"Thanks for raising this Paul. I would go with jbossts-EAP61-branch417 for the existing jobs. We can never tell what the next EAP is, perhaps Narayana will fold into EAP8 or EAP6.x so I am not sure of the naming for the future job though. Maybe narayana-500 is OK (i.e. don't pin it to an EAP in terms of name)?",Tom Jenkinson ,,,,
"You don't need to branch the quickstart, narayana, or docs branches to create these jobs. Currently 5.x and 4.17 share a common branch (master) so both sets of jobs build against master. The place in which they differ is that 4.17 builds against 4_BRANCH of our jboss-as fork and 5.x against 5_BRANCH. They also differ in what is tested as TXF is only tested in 5.x. I would suggest we create the jobs now, but the problem is that we are going to double the load on Hudson as any change is going to trigger both the EAP61 and the narayana-500 version of the job. The reason why I'm keen to get some narayana 5.x CI is that TXF is currently not getting any CI. Maybe I could just create some TXF jobs in the mean time until this is resolved?",Paul Robinson,1,Tom Jenkinson,,
"Mike, Does that mean that you agree with me that we should resolve this as ""won't fix""?",Paul Robinson,1,Michael Musgrove,vlastimil Elias,
"Hi Paul, this is a duplicate of JBTM-1072 (assigned to you) I think?",Tom Jenkinson ,1,Paul Robinson,vlastimil Elias,
"Hi Mike, In the (ideal) future where everything is in Maven we will need to support -DskipTests in qa/ anyway and this is just one step towards that. It is integrated into trunk now, we can always back it out if it becomes an issue? Maybe the priority can be like this: User sets: -DskipTests - skip all tests User sets: QA_TESTS=1 ./scripts/hudson/narayana.sh -DskipTests - override skipTests for the QA suite? I am trying to make it appear more maven like, it wasn't clear to me that skipTests would not skip all the tests sorry :( I am also thinking what is the most intuitive behaviour for the build. Tom",Tom Jenkinson ,,,vlastimil Elias,
Does this affect all versions or 4.17.1+ in particular?,Tom Jenkinson ,1,Michael Musgrove,,
"Actually, maybe we need that job? it might be worth renaming it as it looks like an old ""unit test"" repeat job named as it is?",Tom Jenkinson ,1,Michael Musgrove,paul closes,
Was this a one-off?,Tom Jenkinson ,1,Michael Musgrove,,
"Hi Mike, This issue was marked as ""Resolved, Done"" but there is no ""Fix Version"" specified. Please can you update the Jira with the version of the software where you fixed this? Also, can you then close the issue (assuming its not an in development version). Thanks, Tom",Tom Jenkinson ,1,Michael Musgrove,,
"If there is commitAsync, there should also be rollbackAsync?",Ales Justin,1,Tom Jenkinson,,
How do I get access to BaseTransaction in AS7? As JNDI lookup (java:jboss/UserTransaction) returns ServerVMClientUserTransaction.,Ales Justin,,,,
When the linked JIRA is ready make sure JTS functions with the JDK orb,Michael Musgrove,,,not need?,
Isn't this out of date now?,Mark Little ,1,Tom Jenkinson,,
"OK, thanks. Does the title of the issue need changing now though? I'm assuming we're not back porting this to AS7 and only focussing on WildFly.",Mark Little ,1,,,
"I guess I need to look into this a bit more, but I think that should be a one-off cost? Not that we shouldn't optimize it as L 1. there could be use cases to deploy JBTM just to run a single transaction then to passivate somehow 2. we may want to support reloading config. 3. we may need to optimize boot time costs But to confirm the priority, I think this should be a one-off cost per boot of the TM? Also, please can you confirm the tool you are using to generate the profile (command line parameters too if possible) and maybe your test case if possible.",,,,,
"Hi Mark, Please can you upload the test you were using and the name of the tool that outputted the profiling information? We can look at tuning TxStats, I am thinking a listener pattern might help? Before that though, the test and profiler settings would be useful. Thanks, Tom",,,,,
"Hi Lin, I tagged it as https://svn.jboss.org/repos/labs/labs/jbosstm/tags/JBOSSTS_4_6_1_GA_CP14 Hope that is OK? Tom",,,,,
"It's worth pointing out that the script is inherited from AS7's build.sh, do you think you could try to raise this ""upstream"" so to speak?",,,,,
Why has this been linked to the JDBC object store work? I'd like to understand the relative priority of this to other tasks.,,,,,
"Thanks, but it still doesn't seem that there is clarity on what exactly is required. What is the problem that we're trying to fix? Is it only for JTA? Until we have answers to these and other questions there's no point in implementing anything.",,,,,
Just wondering if this should be in the Arquillian Transaction Extension Jira instance rather than here?,,,,,
Can we have an update on this?,,,,,
"Can you paste in the commands you used to get those numbers, please?",,,,,
What version of JacORB was used please?,,,,,
What hardware architecture is your CI cluster?,,,,,
"Hi Mike, THANKS for raising this, I keep forgetting! Can we put the output in testoutput/ that way we can have a git ignore on just testoutput rather than testoutput TEST*.txt. Tom",,,,,
"Hi Mike, I had a look at the pull request you closed but when I opened the build output and looked in the http://172.17.131.2/job/btny-pulls-narayana/307/artifact/qa/testoutput-jacorb.zip I couldn't see TEST* in there? Tom",,,,,
The JIRA asks for output to be sent to qa/testoutput (not qa). For a qa run against both orbs if you look in the testoutput directory you will find two zips (testoutput-jacorb.zip and testoutput-idlj.zip) which contain the testoutput directory and the TEST*txt files corresponding to each run. To see it working look at the latest narayana-dualstack job (I did notice that btny-pulls-narayana CI job does not archive testoutput so I have updated that job config). I think I may have misunderstood your requirement. Did you mean move all the TEST*txt files into testoutput but leave the zip files in the qa directory.,,,,,
I happened to notice that this: http://172.17.131.2/view/Narayana+BlackTie/job/JBTM-1382/lastSuccessfulBuild/artifact/qa/testoutput-jacorb.zip didn't have the TEST* in the zip?,,,,,
I have dropbumped the priority as it shouldn't affect the release?,,,,,
Should org.jboss.as.weld.deployment.WeldAttachments be lifted into its own subsystem that doesn't depend on EJB3?,,,,,
I think this is resolved for now. Do you agree Tom?,,,,,
"It should be trivial to do that *today* for JDK orb with profiles as you can activate a profile by the presence of a file, e.g. JAVA_HOME/lib/orb.idl. However, JacORB would be in the classpath unless you specifically disabled it with a different profile so its presence would be guaranteed. Now, in the future when AS7-5582 is implemented, the ""JDK"" orb will be a maven dependency (same as JacORB), i.e. it will be available by default in the classpath. Lets say we made the change today as a convenience until AS7-5582 is available, the question is do we really want to have unpredictable results in the build. Lets say the user attempts this new default, detection based build but does still expect both a JDK orb and JacORB version but we as can't locate orb.idl (say they are on pi) and just build the JacORB version - what would you expect then, log a warning?",,,,,
"Since I'm still receiving the following using the latest JDK 7 build for OSX ... [ERROR] Failed to execute goal org.apache.maven.plugins:maven-surefire-plugin:2.9:test (surefire-idlj) on project jts: Execution surefire-idlj of goal org.apache.maven.plugins:maven-surefire-plugin:2.9:test failed: java.lang.reflect.InvocationTargetException; nested exception is java.lang.reflect.InvocationTargetException: null: com/arjuna/ArjunaOTS/OTSAbstractRecordPOA: com.arjuna.ArjunaOTS.OTSAbstractRecordPOA -> [Help 1] I'm assuming we haven't made the automatic build the default? Building for both ORBs is something that has only just happened. So users currently really don't expect an IDLJ build. However, as a developer what I'd prefer is for the build system to not cr*p out ;-) if it can only find one ORB. If it can't find both and I asked it to build JTS then that's definitely an error. But if I just specify JTS on the build line I think I'm either meaning ""Build JTS with JacORB"" (given the last 7 years of history) or ""Build JTS and I really don't care which ORB you use"". Therefore, I suggest changing the build so that it only fails if it can't find either ORB. If it can't find both ORBs then at the end it should print out a message saying which one failed to build. Plus add a jacorb option to the build to correspond to the idlj option, so someone can specify ""build jacorb only"". This would mean the following: ./build.sh -P jts --> build with any ORB, I really don't care which ./build.sh -P jts idlj --> build with only the IDLJ ORB ./build.sh -P jts jacorb --> build with only JacORB",,,,,
Please can you add a component for this?,,,,,
Please can you add a component for this?,,,,,
Shouldn't this also be fixed for 4.17?,,,,,
"Mark The DTF QA tests have their own (JBoss internal) repo, due to different licencing for the DTF. Can we close this one?",,,,,
Why not store it in git?,,,,,
"Why? Also, will you be testing HTTP versus IIOP initially to get a base?",,,,,
"you are right in your concern and that is what I am trying to address but ineloquently I was thinking more about changes to narayana that need a change to jbosstm somehow being able to test both pulls at once. Maybe we could somehow put convention when you raise a pull request for jbosstm that you can put a comment to say something like: ""requires: https://github.com/jbosstm/jboss-as/pull/217"" We can then somehow use that info in the narayana.sh to pull in that branch rather than 5_BRANCH, what do you think? I know you did some work with using rest to talk to git hub to comment on pulls, could it possibly download the comment for the pull in order to grep it for that info?",,,,,
Please can you add an estimate for this?,,,,,
I think we should just take one of the existing quickstarts from the Narayana quickstart repo (multi-hop or multi-service) and simplify it for the following scenario: 1. Client begins TX 2. Client updates a DB 3. Client invokes service 4. Service updates another DB 5. Client commits TX Where client and Service are both EJBs.,,,,,
It appears that the commit for JBJCA-1011 made it into IronJacamar 1.0.16.Final. Is the quickstart working now? Where do I find it?,,,,,
"I've tried this simple test on windows and it also failed with ""java.io.IOException: Could not delete PATH_TO_TEMP_DIRECTORY/ironjacamar-jdbc.jar"" {code} public class SimpleTest { private static final String JDBC_RAR_FILE_PATH = ""src/main/resources/jdbc-xa.rar""; private static Embedded EMBEDDED; @Test public void test() throws Throwable { EMBEDDED = EmbeddedFactory.create(); EMBEDDED.startup(); EMBEDDED.deploy(getURL(JDBC_RAR_FILE_PATH)); System.out.println(""Test...""); EMBEDDED.undeploy(getURL(JDBC_RAR_FILE_PATH)); EMBEDDED.shutdown(); } private static URL getURL(final String path) throws MalformedURLException { final File f = new File(path); return f.toURI().toURL(); } } {code}",,,,,
"For the record, this is the failure: {code} ------------------------------------------------------------------------------- Test set: org.jboss.narayana.quickstart.jca.model.CustomerDAOTest ------------------------------------------------------------------------------- Tests run: 10, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 2.32 sec <<< FAILURE! org.jboss.narayana.quickstart.jca.model.CustomerDAOTest Time elapsed: 0.063 sec <<< ERROR! java.io.IOException: Could not delete C:\Users\hudson\AppData\Local\Temp\2\iron.jacamar\tmp\jdbc-xa.rar\ironjacamar-jdbc.jar at com.github.fungal.impl.KernelImpl.recursiveDelete(KernelImpl.java:1520) at com.github.fungal.impl.KernelImpl.recursiveDelete(KernelImpl.java:1515) at com.github.fungal.impl.KernelImpl.recursiveDelete(KernelImpl.java:1515) at com.github.fungal.impl.KernelImpl.shutdown(KernelImpl.java:850) at org.jboss.jca.embedded.EmbeddedJCA.shutdown(EmbeddedJCA.java:158) at org.jboss.narayana.quickstart.jca.common.AbstractTest.afterClass(AbstractTest.java:61) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:45) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:15) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:42) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:36) at org.junit.runners.ParentRunner.run(ParentRunner.java:300) at org.apache.maven.surefire.junit4.JUnit4TestSet.execute(JUnit4TestSet.java:35) at org.apache.maven.surefire.junit4.JUnit4Provider.executeTestSet(JUnit4Provider.java:146) at org.apache.maven.surefire.junit4.JUnit4Provider.invoke(JUnit4Provider.java:97) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:601) at org.apache.maven.surefire.booter.ProviderFactory$ClassLoaderProxy.invoke(ProviderFactory.java:103) at $Proxy0.invoke(Unknown Source) at org.apache.maven.surefire.booter.SurefireStarter.invokeProvider(SurefireStarter.java:145) at org.apache.maven.surefire.booter.SurefireStarter.runSuitesInProcess(SurefireStarter.java:87) at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:69) {code}",,,,,
"I think that might be enough information to log a bug report against IronJacamar? Can you link this bug as dependent on the one you raise? Also can you provide the link to the stackoverflow article just in case. Thanks, Tom",,,,,
"Sorry, I must have resolved this a while back, I am certainly not seeing it anymore. I will mark it as Out of Date, let me know if its not fixed. I checked it by running a version of ArjunaJTA/jta/tests/../JTATest.java to throw a runtime in afterCompletion and get this: Sep 19, 2013 2:19:27 PM com.arjuna.ats.internal.jta.resources.arjunacore.SynchronizationImple afterCompletion WARN: ARJUNA016029: SynchronizationImple.afterCompletion - failed for com.hp.mwtests.ts.jta.common.Synchronization@483ee0b7 with exception java.lang.RuntimeException at com.hp.mwtests.ts.jta.common.Synchronization.afterCompletion(Synchronization.java:72) at com.arjuna.ats.internal.jta.resources.arjunacore.SynchronizationImple.afterCompletion(SynchronizationImple.java:96) at com.arjuna.ats.arjuna.coordinator.TwoPhaseCoordinator.afterCompletion(TwoPhaseCoordinator.java:532) at com.arjuna.ats.arjuna.coordinator.TwoPhaseCoordinator.end(TwoPhaseCoordinator.java:101) at com.arjuna.ats.arjuna.AtomicAction.commit(AtomicAction.java:162) at com.arjuna.ats.internal.jta.transaction.arjunacore.TransactionImple.commitAndDisassociate(TransactionImple.java:1170) at com.arjuna.ats.internal.jta.transaction.arjunacore.BaseTransaction.commit(BaseTransaction.java:126) at com.hp.mwtests.ts.jta.basic.JTATest.test(JTATest.java:102) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:606) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:45) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:15) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:42) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:20) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:263) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:68) at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:47) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:231) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:60) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:229) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:50) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:222) at org.junit.runners.ParentRunner.run(ParentRunner.java:300) at org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference.run(JUnit4TestReference.java:50) at org.eclipse.jdt.internal.junit.runner.TestExecution.run(TestExecution.java:38) at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:467) at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:683) at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.run(RemoteTestRunner.java:390) at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.main(RemoteTestRunner.java:197) Sep 19, 2013 2:19:33 PM com.arjuna.ats.arjuna.coordinator.TwoPhaseCoordinator afterCompletion WARN: ARJUNA012127: TwoPhaseCoordinator.afterCompletion - returned failure for SynchronizationImple< 0:ffff7f000001:d16e:523af9d9:9, com.hp.mwtests.ts.jta.common.Synchronization@483ee0b7 > Strangely looking at git blame I can't find anytime this would not have been the case for 16029 :(",,,,,
Does this change represent a possible backward incompatibility?,,,,,
"Elevated to critical, please do downgrade (optional?) if not required.",,,,,
"Paul, is this now out of date? If not the description should be something like ""add a TXFramework version of all relevant quickstarts""",,,,,
Just wondered what had necessitated this? Not that it is a problem but we should record in the Jira why this decision was made.,,,,,
Please can you itemize the dependencies that you are worried about - thanks,,,,,
"Hi Weinan, Please can you provide an update on which dependencies you are worried about? We might be cutting a 4.17.4 soon and would like to hear from you, thanks! Tom",,,,,
"Hi Weinan, No worries, hope you had good PTO. My question is more which of the dependencies that those modules you listed have are you concerned about (i.e. I guess there are some none-JBoss stuff? Thanks! Tom",,,,,
"Hi Weinan, Please can you raise a Jira for the second issue (orb.idl) as we don't see that on our machines, it might be environmental so let us know the OS etc and assign it [~mmusgrov] Please can you raise a pull request for the first one? Thanks! Tom",,,,,
"What do you mean by a remote thread? We should be using interposition in all distributed cases, which means the Synchronisation will be registered with a subordinate coordinator.",,,,,
